,type,x,y
0,0,96.4331,56.2083
1,1,91.2522,56.2003
2,0,91.6561,56.1883
3,1,95.5711,56.1808
4,0,96.3953,56.1647
5,0,91.3083,56.1533
6,0,97.0489,56.14
7,0,94.945,56.1331
8,0,91.4744,56.1164
9,0,95.8206,56.1067
10,0,97.2481,56.0894
11,1,96.7361,56.0736
12,0,91.2825,56.0703
13,0,95.1653,56.0614
14,0,96.3544,56.0575
15,0,96.5753,56.0478
16,0,90.2847,56.0339
17,0,89.8636,56.0225
18,0,95.1528,56.0094
19,0,94.9736,56.0053
20,0,91.0511,55.9881
21,0,89.8378,55.9703
22,0,96.4378,55.9531
23,0,94.9736,55.945
24,2,94.7911,55.9269
25,1,90.7158,55.9233
26,0,95.8419,55.9047
27,0,90.0561,55.8953
28,1,93.5969,55.8919
29,0,90.2056,55.8608
30,0,90.0603,55.8492
31,0,90.8872,55.8306
32,0,91.0972,55.7961
33,0,90.1978,55.7872
34,0,89.8925,55.7744
35,0,90.8767,55.7581
36,0,89.8467,55.7272
37,0,93.9181,55.7136
38,0,90.0383,55.7017
39,0,90.4864,55.6869
40,0,93.7742,55.6375
41,0,93.8553,55.5775
42,0,93.8628,55.5367
43,0,93.3883,55.4214
44,0,93.5267,55.2572
45,0,93.755,55.2039
46,1,93.5042,55.1636
47,0,90.6811,55.1431
48,0,90.9944,55.1106
49,1,91.2681,55.0944
50,0,93.9306,54.9731
51,1,90.8483,54.9228
52,0,91.1628,54.8933
53,0,91.0797,54.8106
54,0,92.6006,54.1875
55,0,93.2625,54.1594
56,0,92.7819,54.1253
57,0,93.2694,54.0958
58,2,92.9306,54.0769
59,1,92.3853,54.0531
60,0,92.5647,54.0097
61,0,91.6475,53.9797
62,0,91.8019,53.9233
63,0,93.1119,53.8656
64,0,92.4444,53.8153
65,0,92.1083,53.7772
66,0,92.2064,53.7653
67,0,92.5908,53.7119
68,0,92.1336,53.6664
69,0,92.0342,53.6297
70,0,92.7633,53.5889
71,1,92.0311,53.5478
72,0,92.7256,53.5336
73,0,92.97,53.4872
74,0,92.7778,53.3767
75,0,92.7069,53.3497
76,0,93.2992,57.3225
77,0,90.8842,57.2294
78,0,96.4208,57.1919
79,0,90.8806,57.1525
80,0,93.335,57.0997
81,0,91.0892,57.0892
82,0,91.5014,57.0644
83,0,92.7867,57.0483
84,0,91.47,57.0225
85,0,91.4786,57.0031
86,1,96.3347,56.9731
87,0,93.1192,56.9517
88,0,95.8139,56.9208
89,2,93.1664,56.9069
90,1,90.67,56.8928
91,1,93.2619,56.8847
92,0,90.4619,56.8717
93,0,96.2158,56.8589
94,0,90.3964,56.8447
95,0,95.9014,56.835
96,0,90.6678,56.825
97,0,92.895,56.8161
98,0,90.2939,56.8053
99,0,90.6711,56.7997
100,0,96.1592,56.7858
101,0,95.9517,56.775
102,0,90.9053,56.7636
103,0,95.8697,56.7317
104,0,96.2911,56.7117
105,0,93.3231,56.6994
106,0,90.3761,56.6794
107,0,90.7669,56.6669
108,0,96.4111,56.6525
109,0,91.0092,56.6231
110,0,96.3314,56.6136
111,0,96.0622,56.5775
112,1,92.5819,56.5678
113,0,90.1575,56.5547
114,0,90.1147,56.5367
115,0,96.0103,56.5222
116,0,92.5586,56.4889
117,0,90.4614,56.4625
118,0,90.0656,56.4556
119,0,95.7814,56.4411
120,0,89.7294,56.4306
121,0,96.0597,56.4086
122,0,90.7442,56.3992
123,2,90.4314,56.3892
124,0,92.5142,56.3797
125,0,92.7333,56.3683
126,0,96.1106,56.3561
127,0,96.3408,56.3506
128,0,95.7586,56.3428
129,0,90.7244,56.3303
130,0,89.3283,56.3156
131,0,92.6603,56.3111
132,0,96.0633,56.3072
133,0,89.4464,56.3042
134,0,96.1803,56.2947
135,0,96.0169,56.2906
136,0,89.8797,56.2819
137,0,90.2594,56.2714
138,1,89.6211,56.2525
139,0,92.4572,56.2408
140,0,92.1503,56.2306
141,0,96.2989,56.2242
142,0,93.2531,56.2153
143,0,93.3406,56.1975
144,0,92.8947,56.1844
145,0,93.2358,56.1669
146,0,89.7808,56.1533
147,1,93.1439,56.1428
148,0,92.7681,56.1378
149,0,90.7461,56.1219
150,0,90.3317,56.1186
151,0,92.7503,56.0986
152,1,90.3381,56.0761
153,0,93.3236,56.0656
154,0,93.3586,56.0439
