,index,type,x,y,old_index
0,0,0,96.4331,56.2083,0
1,1,1,91.2522,56.2003,1
2,2,0,91.6561,56.1883,2
3,3,1,95.5711,56.1808,3
4,4,0,96.3953,56.1647,4
5,5,0,91.3083,56.1533,5
6,6,0,97.0489,56.14,6
7,7,0,94.945,56.1331,7
8,8,0,91.4744,56.1164,8
9,9,0,95.8206,56.1067,9
10,10,0,97.2481,56.0894,10
11,11,1,96.7361,56.0736,11
12,12,0,91.2825,56.0703,12
13,13,0,95.1653,56.0614,13
14,14,0,96.3544,56.0575,14
15,15,0,96.5753,56.0478,15
16,16,0,90.2847,56.0339,16
17,17,0,89.8636,56.0225,17
18,18,0,95.1528,56.0094,18
19,19,0,94.9736,56.0053,19
20,20,0,91.0511,55.9881,20
21,21,0,89.8378,55.9703,21
22,22,0,96.4378,55.9531,22
23,23,0,94.9736,55.945,23
24,24,2,94.7911,55.9269,24
25,25,1,90.7158,55.9233,25
26,26,0,95.8419,55.9047,26
27,27,0,90.0561,55.8953,27
28,28,1,93.5969,55.8919,28
29,29,0,90.2056,55.8608,29
30,30,0,90.0603,55.8492,30
31,31,0,90.8872,55.8306,31
32,32,0,91.0972,55.7961,32
33,33,0,90.1978,55.7872,33
34,34,0,89.8925,55.7744,34
35,35,0,90.8767,55.7581,35
36,36,0,89.8467,55.7272,36
37,37,0,93.9181,55.7136,37
38,38,0,90.0383,55.7017,38
39,39,0,90.4864,55.6869,39
40,40,0,93.7742,55.6375,40
41,41,0,93.8553,55.5775,41
42,42,0,93.8628,55.5367,42
43,43,0,93.3883,55.4214,43
44,44,0,93.5267,55.2572,44
45,45,0,93.755,55.2039,45
46,46,1,93.5042,55.1636,46
47,47,0,90.6811,55.1431,47
48,48,0,90.9944,55.1106,48
49,49,1,91.2681,55.0944,49
50,50,0,93.9306,54.9731,50
51,51,1,90.8483,54.9228,51
52,52,0,91.1628,54.8933,52
53,53,0,91.0797,54.8106,53
54,54,0,92.6006,54.1875,54
55,55,0,93.2625,54.1594,55
56,56,0,92.7819,54.1253,56
57,57,0,93.2694,54.0958,57
58,58,2,92.9306,54.0769,58
59,59,1,92.3853,54.0531,59
60,60,0,92.5647,54.0097,60
61,61,0,91.6475,53.9797,61
62,62,0,91.8019,53.9233,62
63,63,0,93.1119,53.8656,63
64,64,0,92.4444,53.8153,64
65,65,0,92.1083,53.7772,65
66,66,0,92.2064,53.7653,66
67,67,0,92.5908,53.7119,67
68,68,0,92.1336,53.6664,68
69,69,0,92.0342,53.6297,69
70,70,0,92.7633,53.5889,70
71,71,1,92.0311,53.5478,71
72,72,0,92.7256,53.5336,72
73,73,0,92.97,53.4872,73
74,74,0,92.7778,53.3767,74
75,75,0,92.7069,53.3497,75
76,76,0,93.2992,57.3225,76
77,77,0,90.8842,57.2294,77
78,78,0,96.4208,57.1919,78
79,79,0,90.8806,57.1525,79
80,80,0,93.335,57.0997,80
81,81,0,91.0892,57.0892,81
82,82,0,91.5014,57.0644,82
83,83,0,92.7867,57.0483,83
84,84,0,91.47,57.0225,84
85,85,0,91.4786,57.0031,85
86,86,1,96.3347,56.9731,86
87,87,0,93.1192,56.9517,87
88,88,0,95.8139,56.9208,88
89,89,2,93.1664,56.9069,89
90,90,1,90.67,56.8928,90
91,91,1,93.2619,56.8847,91
92,92,0,90.4619,56.8717,92
93,93,0,96.2158,56.8589,93
94,94,0,90.3964,56.8447,94
95,95,0,95.9014,56.835,95
96,96,0,90.6678,56.825,96
97,97,0,92.895,56.8161,97
98,98,0,90.2939,56.8053,98
99,99,0,90.6711,56.7997,99
